Symbol,Date,Open,High,Low,Close,Volume,Adj_Close
BAC,2016-07-20,14.35,14.43,14.26,14.40,78185500,14.40
BAC,2016-07-19,14.06,14.37,14.03,14.26,96940100,14.26
BAC,2016-07-18,13.84,14.23,13.82,14.11,187187100,14.11
BAC,2016-07-15,13.78,13.79,13.52,13.66,78652500,13.66
BAC,2016-07-14,13.73,13.78,13.64,13.65,97852100,13.65
BAC,2016-07-13,13.50,13.58,13.32,13.44,74595600,13.44
BAC,2016-07-12,13.41,13.60,13.40,13.54,89070600,13.54
BAC,2016-07-11,13.29,13.40,13.20,13.21,67267300,13.21
BAC,2016-07-08,13.28,13.32,13.11,13.17,92698900,13.17
BAC,2016-07-07,12.87,13.11,12.84,13.01,101100300,13.01
BAC,2016-07-06,12.52,12.92,12.45,12.86,94983300,12.86
BAC,2016-07-05,12.93,12.94,12.63,12.74,98246500,12.74
BAC,2016-07-01,13.19,13.27,13.02,13.10,88888100,13.10
BAC,2016-06-30,13.37,13.38,13.07,13.27,125773900,13.27
BAC,2016-06-29,13.07,13.22,12.92,13.19,118484000,13.19
BAC,2016-06-28,12.57,12.72,12.35,12.70,150136300,12.70
BAC,2016-06-27,12.77,12.77,12.05,12.18,250847700,12.18
BAC,2016-06-24,13.05,13.44,12.97,13.00,231499200,13.00
BAC,2016-06-23,13.84,14.05,13.82,14.04,82494600,14.04
BAC,2016-06-22,13.60,13.78,13.59,13.61,77980500,13.61
BAC,2016-06-21,13.62,13.65,13.45,13.62,73810800,13.62
BAC,2016-06-20,13.74,13.85,13.51,13.54,89874000,13.54
BAC,2016-06-17,13.38,13.53,13.28,13.40,89022300,13.40
BAC,2016-06-16,13.23,13.33,13.02,13.31,90152000,13.31
BAC,2016-06-15,13.38,13.66,13.28,13.34,100659100,13.34
BAC,2016-06-14,13.56,13.73,13.17,13.26,85377800,13.26
BAC,2016-06-13,13.64,13.91,13.58,13.60,74851700,13.60
BAC,2016-06-10,13.98,14.00,13.75,13.83,90725700,13.83
BAC,2016-06-09,14.32,14.32,14.08,14.19,74814900,14.19
BAC,2016-06-08,14.35,14.46,14.30,14.43,58292900,14.43
BAC,2016-06-07,14.54,14.60,14.34,14.35,67447100,14.35
BAC,2016-06-06,14.44,14.70,14.37,14.52,80949300,14.52
BAC,2016-06-03,14.46,14.50,14.19,14.42,148600900,14.42
BAC,2016-06-02,14.95,14.98,14.77,14.94,64327300,14.94
BAC,2016-06-01,14.60,14.90,14.45,14.86,62612100,14.86
BAC,2016-05-31,15.03,15.05,14.73,14.79,85635900,14.74
BAC,2016-05-27,14.76,14.88,14.69,14.88,62411300,14.83
