DBN,Critical Reading Mean,Mathematics Mean,Writing Mean
M292,391,425,385
M448,394,419,387
M450,418,431,402
M539,568,583,568
M696,630,608,630
M047,405,415,385
M288,422,412,407
M294,382,364,366
M296,397,415,391
M298,424,448,423
M300,405,446,415
M303,381,373,377
M305,411,406,411
M308,409,381,412
M316,401,409,391
M374,395,376,386
M400,465,480,448
M407,484,478,472
M408,495,465,499
M411,523,583,528
M412,561,597,567
M413,475,488,466
M414,454,448,435
M416,555,596,567
M418,512,554,523
M419,369,370,359
M420,446,458,440
M425,419,429,406
M429,379,356,354
M439,465,479,472
M440,387,394,379
M449,367,395,373
M459,418,463,415
M460,381,385,368
M475,674,735,678
M489,451,503,453
M500,371,369,368
M519,465,454,461
M520,411,439,396
M529,420,424,398
M531,415,405,397
M542,345,380,325
M543,390,385,387
M545,416,612,419
M551,372,369,368
M580,425,429,419
M600,419,420,413
M615,393,412,376
M620,378,387,370
M625,370,378,360
M630,427,423,418
M655,399,389,383
M690,382,404,359
M283,406,378,391
M299,364,378,357
M307,374,363,377
M415,376,373,371
M470,357,357,345
M479,573,563,575
M485,558,555,567
M494,407,425,397
M541,481,525,469
M860,414,410,406
M409,390,372,383
M435,485,531,475
M495,360,374,362
M555,362,378,356
M610,451,445,470
M635,380,385,354
M680,369,385,361
M695,366,382,362
M304,424,421,410
M369,349,370,363
M469,420,369,401
M499,465,481,466
M670,423,434,404
M685,364,378,359
M692,592,627,575
M462,383,384,379
M463,366,376,353
M467,388,388,378
M468,385,417,373
M540,436,451,421
M552,342,384,333
X221,399,393,382
X334,322,335,327
X427,372,351,359
X473,345,352,349
X495,401,388,396
X500,460,455,457
X520,418,429,415
X527,377,381,379
X547,382,376,376
X548,381,423,384
X551,416,406,435
X600,367,372,354
X655,370,385,354
X670,400,391,387
X282,395,407,388
X293,389,375,375
X295,377,367,368
X305,359,358,338
X312,380,389,371
X332,374,362,366
X405,414,433,397
X452,381,361,352
X519,373,376,367
X530,377,382,368
X540,356,376,368
X650,370,377,363
X227,371,358,343
X231,391,399,386
X239,359,380,371
X250,401,383,387
X252,395,398,399
X260,447,495,454
X263,359,347,356
X276,362,380,358
X297,388,352,378
X329,394,404,389
X403,335,335,340
X404,366,373,371
X412,369,397,366
X413,423,450,435
X414,347,353,351
X505,413,390,420
X517,399,414,406
X525,402,397,396
X543,332,379,337
X141,475,479,470
X213,374,402,364
X225,382,375,363
X237,373,358,366
X243,365,382,375
X268,313,316,296
X284,404,397,383
X342,333,336,285
X368,418,411,398
X433,386,385,381
X434,358,370,346
X437,377,375,375
X438,375,385,373
X439,389,400,382
X440,425,440,417
X442,421,432,439
X445,632,685,643
X475,364,375,358
X477,406,429,403
X546,406,389,388
X549,340,340,351
X660,380,385,369
X696,635,630,619
X478,389,383,364
X245,368,349,358
X248,340,361,335
X251,364,364,344
X262,383,360,387
