DBN,Number of Test Takers,NUMBER OF CLASSES.max,TOTAL REGISTER.max,AVERAGE CLASS SIZE.max,SIZE OF SMALLEST CLASS.max,SIZE OF LARGEST CLASS.max,NUMBER OF CLASSES.min,TOTAL REGISTER.min,AVERAGE CLASS SIZE.min,SIZE OF SMALLEST CLASS.min,SIZE OF LARGEST CLASS.min,NUMBER OF CLASSES.mean,TOTAL REGISTER.mean,AVERAGE CLASS SIZE.mean,SIZE OF SMALLEST CLASS.mean,SIZE OF LARGEST CLASS.mean,SCHOOLWIDE PUPIL-TEACHER RATIO,DISTRICT,PEER INDEX*,2009-2010 OVERALL SCORE,2009-2010 ENVIRONMENT CATEGORY SCORE,2009-2010 PERFORMANCE CATEGORY SCORE,2009-2010 PROGRESS CATEGORY SCORE,2009-2010 ADDITIONAL CREDIT,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL,PERCENT PUBLIC ASSISTANCE TOTAL,YTD % Attendance (Avg),YTD Enrollment(Avg),2009-2010 OVERALL GRADE_is_nan,2009-2010 OVERALL GRADE_is_A,2009-2010 OVERALL GRADE_is_B,2009-2010 OVERALL GRADE_is_C,2009-2010 OVERALL GRADE_is_D,2009-2010 OVERALL GRADE_is_F,2009-2010 ENVIRONMENT GRADE_is_nan,2009-2010 ENVIRONMENT GRADE_is_A,2009-2010 ENVIRONMENT GRADE_is_B,2009-2010 ENVIRONMENT GRADE_is_C,2009-2010 ENVIRONMENT GRADE_is_D,2009-2010 ENVIRONMENT GRADE_is_F,2009-2010 PERFORMANCE GRADE_is_nan,2009-2010 PERFORMANCE GRADE_is_A,2009-2010 PERFORMANCE GRADE_is_B,2009-2010 PERFORMANCE GRADE_is_C,2009-2010 PERFORMANCE GRADE_is_D,2009-2010 PERFORMANCE GRADE_is_F,2009-2010 PROGRESS GRADE_is_nan,2009-2010 PROGRESS GRADE_is_A,2009-2010 PROGRESS GRADE_is_B,2009-2010 PROGRESS GRADE_is_C,2009-2010 PROGRESS GRADE_is_D,2009-2010 PROGRESS GRADE_is_F,2008-09 PROGRESS REPORT GRADE_is_nan,2008-09 PROGRESS REPORT GRADE_is_A,2008-09 PROGRESS REPORT GRADE_is_B,2008-09 PROGRESS REPORT GRADE_is_C,2008-09 PROGRESS REPORT GRADE_is_D,2008-09 PROGRESS REPORT GRADE_is_F
M292,31,9.0,210.0,29.3,28.0,34.0,1.0,9.0,9.0,9.0,9.0,2.94117647059,61.3823529412,19.1588235294,16.2647058824,22.4117647059,12.7,1.0,2.16,40.0,5.0,13.3,21.7,0.0,11,4,0.36,7,0.64,0,0,11,100,0,1,0.09,0,0.0,4,0.36,6,0.55,0,0.0,0,0.0,0,0.0,11,100,0,0.0,11,1.0,0,0.0,0,0,11,100,0,0.0,11,1.0,0,0,11,100,91.18,12367,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
M448,60,11.0,283.0,32.5,32.0,34.0,1.0,22.0,15.5,10.0,16.0,3.70967741935,81.8709677419,22.9064516129,18.8709677419,27.0322580645,13.2,1.0,2.24,47.8,5.2,11.4,31.2,0.0,11,4,0.36,7,0.64,0,0,11,100,0,1,0.09,0,0.0,4,0.36,6,0.55,0,0.0,0,0.0,0,0.0,11,100,0,0.0,11,1.0,0,0.0,0,0,11,100,0,0.0,11,1.0,0,0,11,100,91.18,12367,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
M450,69,9.0,172.0,28.0,28.0,28.0,1.0,6.0,6.0,6.0,6.0,3.02631578947,54.7105263158,18.7736842105,17.5526315789,20.0,12.6,1.0,2.42,84.0,13.5,22.6,38.9,9.0,11,4,0.36,7,0.64,0,0,11,100,0,1,0.09,0,0.0,4,0.36,6,0.55,0,0.0,0,0.0,0,0.0,11,100,0,0.0,11,1.0,0,0.0,0,0,11,100,0,0.0,11,1.0,0,0,11,100,91.18,12367,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
M539,47,15.0,393.0,31.5,31.0,34.0,1.0,10.0,10.0,10.0,10.0,6.65625,158.4375,23.2875,18.65625,26.34375,17.0,1.0,3.55,67.2,8.1,23.7,35.4,0.0,11,4,0.36,7,0.64,0,0,11,100,0,1,0.09,0,0.0,4,0.36,6,0.55,0,0.0,0,0.0,0,0.0,11,100,0,0.0,11,1.0,0,0.0,0,0,11,100,0,0.0,11,1.0,0,0,11,100,91.18,12367,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
M696,138,20.0,400.0,22.5,22.0,24.0,1.0,18.0,17.7,13.0,18.0,8.53846153846,166.461538462,19.4769230769,16.0769230769,21.6923076923,15.4,1.0,3.81,60.9,11.4,16.5,33.0,0.0,11,4,0.36,7,0.64,0,0,11,100,0,1,0.09,0,0.0,4,0.36,6,0.55,0,0.0,0,0.0,0,0.0,11,100,0,0.0,11,1.0,0,0.0,0,0,11,100,0,0.0,11,1.0,0,0,11,100,91.18,12367,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
M047,11,3.0,45.0,23.0,23.0,23.0,1.0,12.0,11.5,11.0,12.0,1.41666666667,22.0833333333,15.8208333333,15.5,16.1666666667,,2.0,1.67,76.6,11.1,15.6,49.9,0.0,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
M288,50,8.0,166.0,33.0,33.0,33.0,1.0,12.0,12.0,11.0,12.0,2.59259259259,58.7037037037,23.4888888889,21.4074074074,25.8518518519,13.0,2.0,2.44,83.9,9.7,21.3,43.9,9.0,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
M294,51,10.0,183.0,19.7,18.0,25.0,1.0,10.0,10.0,10.0,10.0,3.1875,50.4375,14.825,12.5625,17.3125,12.0,2.0,2.28,84.2,11.8,23.0,43.4,6.0,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
M296,43,8.0,226.0,30.0,30.0,32.0,1.0,11.0,11.0,11.0,11.0,3.5652173913,86.652173913,23.6913043478,19.5652173913,26.7391304348,14.5,2.0,2.28,85.3,10.2,20.7,52.9,1.5,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
M298,71,5.0,111.0,33.0,33.0,33.0,1.0,16.0,14.8,10.0,16.0,2.57692307692,59.9615384615,23.6846153846,20.8076923077,25.7692307692,15.2,2.0,2.82,90.9,10.2,21.5,47.2,12.0,124,70,0.56,54,0.44,0,0,124,100,0,28,0.23,0,0.0,54,0.44,1,0.01,37,0.3,4,0.03,0,0.0,124,100,7,0.06,117,0.94,0,0.0,0,0,124,100,38,0.31,86,0.69,0,0,124,100,89.01,60823,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
